text,date,rating,has_official_reply,reactions_total
Т,18 ноября 2025,1,False,0
Бұнда бәрі бақытттыыыыыы,28 сентября 2025,5,False,0
Люди составляющие расписание имеют сердца и логику. Зачем делать такие неудобные расписание,12 сентября 2025,2,False,0
Университет просто бомба!,6 сентября 2025,5,False,0
жан😍❤️😘🥰,14 августа 2025,5,False,0
Өте жақсы университет,18 мая 2025,5,False,0
"Пойдет, ток поднимите gpa пж",12 февраля 2025,5,False,3
🧏‍♀️🧏‍♀️🧏‍♀️🧏‍♀️🧏‍♀️🧏‍♀️🧏‍♀️🧏‍♀️🧏‍♀️🧏‍♀️🧏‍♀️🧏‍♀️,23 декабря 2024,5,False,0
"Расписание уроков очень не удобно, как попало, окошки между парами часами. Еще говорят что сами выбрали…..",26 сентября 2024,1,False,3
Университет имеет свою особо приятную атмосферу,8 апреля 2024,5,True,1
Отзывы никуда не скроете твином,10 октября 2023,1,False,6
👍👍,11 октября 2025,4,False,0
Ваще ничего не понятно ожидала больше и свои деньги тоже не оправдывает в школе даже лучше учат,17 сентября 2025,1,False,0
"Сестрёнку отдали на курс английского. Ей 10, самостоятельно посещать курсы не может. Ее нужно привозить и увозить. Всё взрослые дома работают. Изначально оговоренное время нам подходило. Но потом, они начали менять время и дни уроков как им вздумается. Ужасное, плевательское отношение ко времени других людей. Самое главное, преподаватель в чат пишет безо всяких объяснений, типа ""сегодня урок начнется в такое то время"" и всё. Или ""сегодня урока не будет, пройдем в субботу""

Пишу им об этой проблеме, игнорируют, класс 👍",12 сентября 2025,1,False,0
Бағасы?,16 августа 2025,4,False,0
Самое лучшее место🔥🔥❤️❤️,12 марта 2025,5,False,0
Маған ұнады🔥🔥 мұғалімдер топ🥰,14 февраля 2025,5,False,0
"отличный центр для изучения английского, всем рекомендую!!!!⭐️",21 ноября 2024,5,False,0
great! wishing this center to grow and improve! a huge opportunity for students 🔥🔥🔥,20 ноября 2024,5,False,1
"Өте жақсы жер, әйеліммен бірге ағылшын курсына қатысып жатырмыз. Прогресс жақсы😂👍🏻👍🏻",20 ноября 2024,5,False,5
"Great, great 👏",20 ноября 2024,5,False,1
Я там была там у нас было лагерь там очень круто команатах всегда чисто и кометь очень вкусно,11 октября 2025,5,False,0
Турецкий язык отнимает много времени ! Никто не дает так много задач и работы как MDE . Столько сил было потрачено на не нужную мне язык,28 июля 2025,1,False,1
"Из за гнилых преподавателей Жасулан Ахметов и алмас Агай , мы нормально не можем устроиться на работу , они не показывают какая работа ждет , а просто проводят теории и все и сдаешь экзамены . А в реальной работы теории не нужны",18 мая 2025,1,False,0
"Красивое здание, вежливые и доброжелательные студенты. Была здесь на конференции — всё прошло на высоком уровне. На территории много столовых и кафетериев с очень доступными ценами. Я купила чай, пирожки с картошкой и круассан — всё вместе обошлось всего в 600 тг. Желаю университету дальнейшего процветания!",18 апреля 2025,5,False,0
"Универ как универ, не самый лучший но не самый худший, персонал грубый со студентами, администрации вообще плевать",9 апреля 2025,3,False,0
тангы 8де айдишкасыз киргызбей койды охраник👎🏼👎🏼👎🏼,5 апреля 2025,1,False,5
"Ужасно, плохо, постоянная давка на студента, непонимание со стороны руководства, жестокие правила, огромные ценники, не самые лучшие условия, а так по образованию неплохо✅",7 ноября 2024,1,False,2
Әйел бастаған көш оңады!,8 марта 2024,3,False,5
Машина котине тыгып кой,10 октября 2023,1,False,1
